date,Time,magnitude,zone,description
3/28/2024,8:39,2.2,MOLDOVA NEAMT,
3/28/2024,8:36,3.3,MOLDOVA NEAMT,
3/24/2024,3:33,2.6,ZONA SEISMICA VRANCEA BUZAU,
3/23/2024,11:01,2.6,MOLDOVA BACAU,
3/22/2024,13:13,2.1,TRANSILVANIA COVASNA,
3/21/2024,21:57,2.4,ZONA SEISMICA VRANCEA VRANCEA,
3/16/2024,2:54,2.2,MUNTENIA PRAHOVA,
3/14/2024,22:26,2.1,ZONA SEISMICA VRANCEA VRANCEA,
3/14/2024,0:53,2.7,ZONA SEISMICA VRANCEA BUZAU,
3/11/2024,5:01,2.2,ZONA SEISMICA VRANCEA VRANCEA,
3/10/2024,22:42,3.4,MOLDOVA BACAU,
3/10/2024,18:15,2.3,MUNTENIA PRAHOVA,
3/10/2024,10:37,3.4,ZONA SEISMICA VRANCEA VRANCEA,
3/10/2024,3:19,2.6,ZONA SEISMICA VRANCEA BUZAU,
3/8/2024,22:11,2,OLTENIA GORJ,
3/8/2024,22:06,2.6,OLTENIA GORJ,
3/8/2024,18:48,3.1,ZONA SEISMICA VRANCEA VRANCEA,
3/7/2024,16:39,3.1,ZONA SEISMICA VRANCEA BUZAU,
3/6/2024,5:12,3,ZONA SEISMICA VRANCEA VRANCEA,
3/5/2024,15:12,4,ZONA SEISMICA VRANCEA VRANCEA,
3/4/2024,3:47,2.6,ZONA SEISMICA VRANCEA BUZAU,
3/2/2024,14:36,2.5,MOLDOVA VASLUI,
3/2/2024,14:33,2.5,MOLDOVA VASLUI,
2/29/2024,11:25,4.1,ZONA SEISMICA VRANCEA BUZAU,
2/28/2024,20:47,3.5,ZONA SEISMICA VRANCEA VRANCEA,
2/25/2024,21:36,2.4,ZONA SEISMICA VRANCEA BUZAU,
2/25/2024,21:11,2.6,MUNTENIA BUZAU,
2/25/2024,8:13,2.9,CRISANA BIHOR,
2/24/2024,21:38,3.4,ZONA SEISMICA VRANCEA VRANCEA,
2/24/2024,12:43,2.2,MUNTENIA DAMBOVITA,
2/24/2024,4:56,2.3,ZONA SEISMICA VRANCEA VRANCEA,
2/22/2024,22:39,2.3,ZONA SEISMICA VRANCEA VRANCEA,
2/20/2024,19:10,2.9,ZONA SEISMICA VRANCEA VRANCEA,
2/16/2024,15:23,3.2,ZONA SEISMICA VRANCEA VRANCEA,
2/16/2024,6:20,3.1,ZONA SEISMICA VRANCEA VRANCEA,
2/16/2024,1:53,2.3,ZONA SEISMICA VRANCEA VRANCEA,
2/13/2024,6:55,2.8,ZONA SEISMICA VRANCEA VRANCEA,
2/10/2024,5:29,3.1,ZONA SEISMICA VRANCEA VRANCEA,
2/8/2024,6:26,2.5,MOLDOVA VASLUI,
2/7/2024,23:36,2.1,MUNTENIA ILFOV_N,
2/6/2024,8:30,2.2,MUNTENIA BUZAU,
2/5/2024,23:50,4,MUNTENIA IALOMITA,
2/5/2024,15:31,2.9,MUNTENIA DAMBOVITA,
2/5/2024,9:59,2.7,ZONA SEISMICA VRANCEA VRANCEA,
2/5/2024,6:14,2.3,MUNTENIA DAMBOVITA,
2/5/2024,6:11,2.2,MUNTENIA ARGES,
2/4/2024,11:53,3.6,ZONA SEISMICA VRANCEA BUZAU,
2/2/2024,0:06,3,BANAT TIMIS,
2/1/2024,14:15,2.5,OLTENIA VALCEA,
1/29/2024,15:59,3.4,ZONA SEISMICA VRANCEA VRANCEA,
1/28/2024,1:15,2.4,ZONA SEISMICA VRANCEA VRANCEA,
1/27/2024,19:37,2,BANAT TIMIS,
1/26/2024,3:43,2.5,ZONA SEISMICA VRANCEA VRANCEA,
1/22/2024,12:02,2.8,ZONA SEISMICA VRANCEA BUZAU,
1/22/2024,7:54,2.6,TRANSILVANIA HUNEDOARA,
1/21/2024,2:02,3.5,ZONA SEISMICA VRANCEA BUZAU,
1/16/2024,4:15,2.6,ZONA SEISMICA VRANCEA BUZAU,
1/15/2024,20:42,3.1,ZONA SEISMICA VRANCEA VRANCEA,
1/15/2024,11:35,3.3,ZONA SEISMICA VRANCEA VRANCEA,
1/15/2024,11:01,4.3,ZONA SEISMICA VRANCEA VRANCEA,
1/14/2024,20:13,3.5,ZONA SEISMICA VRANCEA BUZAU,
1/14/2024,11:59,2.2,MUNTENIA PRAHOVA,
1/13/2024,14:18,2.5,ZONA SEISMICA VRANCEA VRANCEA,
1/13/2024,11:44,2.3,BANAT TIMIS,
1/13/2024,11:08,3.9,BANAT TIMIS,
1/11/2024,4:49,3.4,ZONA SEISMICA VRANCEA VRANCEA,
1/11/2024,0:20,2.6,ZONA SEISMICA VRANCEA VRANCEA,
1/10/2024,23:01,3.6,ZONA SEISMICA VRANCEA VRANCEA,
1/10/2024,2:08,2.8,ZONA SEISMICA VRANCEA VRANCEA,
1/8/2024,16:19,2.3,MOLDOVA GALATI,
1/7/2024,11:21,2.6,MUNTENIA IALOMITA,
